ID,galaxy,label,xcentroid,ycentroid,sky_centroid.ra,sky_centroid.dec,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,segment_flux,kron_flux,label_z,xcentroid_z,ycentroid_z,area_z,semimajor_sigma_z,semiminor_sigma_z,orientation_z,eccentricity_z,min_value_z,max_value_z,segment_flux_z,kron_flux_z,CI5_g,CI5_z,m5_g,m5_z,CI4_g,CI4_z,m4_g,m4_z,CI_g,CI_z,m3_g,m3_z,fwhm,e_fwhm,colour
0,NGC1427a,127,3721.8247851749898,488.0953066380909,55.02551442495213,-35.65590958057845,18.0,1.6346081252794138,0.7791570065227993,-34.699876783601866,0.8790861759499987,0.0163300502287768,0.0474632480557474,0.4941699422415197,0.8092714232270138,58,3721.3256953862174,488.6834209449452,3.0,0.5666644149349854,0.3389190160139935,44.54699528739757,0.8014253930790736,0.019437415310894,0.0308874730539608,0.0750147854728107,0.3271494567785525,2.026146703352026,1.969248119117566,26.47856892720805,25.67617875827591,1.9598672748682129,1.8797139198474149,26.54484835569187,25.76571295754606,1.7273795763453386,1.6707225587512582,26.777336054214743,25.974704318642218,4.054454801121445,1.052092940850019,0.8026317355725254
1,NGC1427a,171,4078.511229805889,641.9029839426723,55.01941800533733,-35.65377249808831,29.0,1.2888614839843626,1.202162176828747,-62.63051896435896,0.3605707508324548,0.0088053411022848,0.2059872930657448,1.4492992110562912,1.6644459378765342,90,4079.3744255271936,642.0178016939194,16.0,1.0901808347865671,0.9607802164126946,-87.42938776571165,0.4725506222974385,0.0116019770473801,0.091144921853192,0.5546480123295305,1.0796392750215154,1.378339914618106,1.7426340570065977,25.438166803953138,24.98141023313446,1.3135900909575398,1.6444900062263097,25.502916627613704,25.07955428391475,1.1754785131785503,1.4318588341211047,25.641028205392693,25.292185456019958,2.36783802772086,0.1353422784196005,0.3488427493727393
2,NGC1427a,215,3470.9650480480013,792.902778573863,55.0298029750572,-35.651676569428304,153.0,2.258163180953445,1.936521566270888,-48.41552968560883,0.5143757173798946,0.0092441253364086,1.904355290699576,23.967528914115224,23.942203080036087,112,3471.152126849156,792.7797839609902,149.0,2.429998080922516,2.104292683884585,-53.192437001593085,0.500105038416525,0.0041068654631578,1.0659114904838771,17.75542071176553,18.267687206936984,1.7084908371119525,1.8799622728598135,22.68938489770729,21.86909185807092,1.6201041106197105,1.7640004620612617,22.77777162419953,21.98505366886947,1.4602967630112396,1.5483220002318203,22.937578971808005,22.20073213069891,2.577651791833901,0.1019732379303987,0.7368468411090952
3,NGC1427a,218,4107.878977752921,794.7112142714881,55.01891657631196,-35.65165007731304,37.0,1.5163652560882663,1.393813533369946,37.41673795723342,0.3938362801216253,0.0125747064753755,0.1047734947703815,1.4164120607125088,1.8191726022362869,114,4108.277413947842,794.4276913245686,17.0,1.2130869093020047,1.0210120587861522,48.088619617337685,0.5400009697387027,0.0135118781060058,0.0379892724312033,0.420935809980723,0.968990865417792,1.9331778796460133,2.3702703561744656,25.463080538062894,25.00741627844995,1.828307575595545,2.2035091882245936,25.56795084211336,25.17417744639982,1.6324529933652483,1.969089777124612,25.76380542434366,25.4085968574998,3.3778643153651693,0.2594475665145558,0.3552085668438565
4,NGC1427a,227,2791.130477832317,816.7237915737112,55.04142299163659,-35.651346108823155,18.0,1.1260215931588229,1.0280291217702602,32.73741212203548,0.4080163802042534,0.0067481424134628,0.0634016211361031,0.5393608473816708,0.7946794747655416,117,2791.04556568036,816.4010414557546,12.0,1.0362100767603126,0.7858937301707412,-87.84198762208212,0.6517534702120149,0.009198388289622,0.0694748088974516,0.3805075269673723,0.6940759400658363,1.7290385901814531,1.6619177287442497,26.21962822591612,25.21226967207906,1.6466178298502072,1.592822813651722,26.302048986247367,25.281364587171588,1.4556843584731851,1.376617153943517,26.49298245762439,25.497570246879796,2.947901793496606,0.1835411589768379,0.9954122107445968
5,NGC1427a,229,3675.879836613275,818.749962727746,55.02630054365063,-35.65131724538011,29.0,1.5954740939604408,1.093444339883794,69.6914827025716,0.7282219849580924,0.0052095899541307,0.1152874796474684,1.1700638792174582,2.1624414297745487,118,3676.280017321564,819.4293844441224,7.0,0.9692967823949472,0.544563471528321,58.58242513026184,0.8272643014966677,0.0193302979676847,0.0334279746605015,0.1759941946139575,0.5991735440110232,1.9129634272235485,2.077441308944969,25.493948236026668,25.468831417156025,1.7512687012492023,1.9735886214073624,25.65564296200101,25.572684104693632,1.5216369708296753,1.66207430399621,25.88527469242054,25.884198422104784,2.636988329574501,0.3786172992801128,0.0010762703157567
6,NGC1427a,261,3705.268393774709,924.6626863910068,55.02579847881796,-35.64984617928363,20.0,1.12202855288848,1.0979229742853076,85.50149892192583,0.2061705441564052,0.005754556668581,0.0815482358464632,0.7155319873737074,0.9670723497641828,140,3706.5103959459216,924.5239871535292,4.0,0.5093199980188872,0.4898057578183392,-44.31330245384708,0.2741543692768216,0.0206175404053521,0.0297569493362995,0.0992221081368084,0.3694690551393887,1.6016894969262765,1.60821870304504,26.05725808918264,26.046802050507072,1.5174170740008144,1.6187124229442489,26.141530512108098,26.036308330607863,1.3830187353600074,1.4442554068769766,26.275928850748905,26.21076534667513,2.8904317387753524,0.1583798576519761,0.0651635040737694
7,NGC1427a,263,2831.039852211717,939.2281701415072,55.04074082286445,-35.64964466764641,17.0,1.3753050087326697,0.83404943932206,38.99132779975681,0.7951239997151923,0.014703691337423,0.0562927894825098,0.5078495995034068,0.8481412284410272,141,2830.9391759619552,938.3012650531418,20.0,1.5334116950344985,0.91597288146135,48.59882942377508,0.8019858052426652,0.0173220001075478,0.0513824978666323,0.600548966168,1.4300937256988666,1.9534232956246704,2.3802627863000083,26.192222494406348,24.622939488481045,1.819967213425997,2.1513885568201907,26.32567857660502,24.851813717960862,1.5760897934371236,1.793568881883612,26.56955599659389,25.20963339289744,3.036069233871956,0.6015508632750154,1.3599226036964538
8,NGC1427a,264,3096.4782772753565,942.4459007249854,55.03620395272917,-35.64959993320118,31.0,1.5293904596262822,1.1816434694626152,-70.21443674313971,0.6348641294026681,0.0021862917703103,0.1125737222678434,1.1597905701771165,1.525917431354463,143,3096.4805902076178,941.9913015563068,6.0,0.7955751364726059,0.4994788279162718,-88.88900413455283,0.7783577023393159,0.0263040820267746,0.0347316811128646,0.1825315695449427,0.5194358946374262,1.6853480240588825,1.7928845830210456,25.66755529782629,25.61406050031841,1.6067789911565669,1.6958788351278145,25.746124330728605,25.71106624821164,1.4221942183687872,1.496202628401921,25.930709103516385,25.91074245493753,2.59726998384794,0.2215014458119584,0.0199666485788547
9,NGC1427a,268,2809.6779882019864,951.3831598618982,55.041105936625165,-35.64947584450477,14.0,1.2816189793983714,0.8203741118739419,-62.00515316580886,0.7682852319511841,0.0136597497461849,0.0286025912591814,0.3171975400859496,1.3365940983440692,144,2809.9420921064225,950.4430735212568,12.0,1.2379498398318405,0.7388155959791963,83.15848234500176,0.8023857450686167,0.013935994040391,0.0372175117090984,0.3144723926257849,1.1041753813749773,2.7400685819225785,2.7883376849328485,26.082478472603224,24.836872725677196,2.379264661572897,2.489592528424989,26.443282392952906,25.13561788218505,2.029087103054284,2.1302951570409725,26.79345995147152,25.49491525356907,0.0,0.0,1.2985446979024502
